Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.99987	2.16723	0.953743	0.0391035	0.000953743	0.00619933	0.00919651
10	3	1.01311	0.998892	2.1561	0.953743	0.0400572	0.00286123	0.0033381	0.0092957
20	5	1.03469	0.99816	2.2072	0.949668	0.0379867	0.00379867	0.00854701	0.00911753
30	4	1.09184	0.997254	2.26295	0.951928	0.039981	0.00190386	0.00618753	0.00897942
40	5	1.13557	0.995957	2.26629	0.947418	0.0421601	0.00426338	0.00615822	0.00886896
50	4	1.09761	0.995207	2.29969	0.940734	0.0456256	0.0042333	0.00940734	0.00881308
60	4	1.05688	0.994627	2.26516	0.945626	0.0463357	0.00236407	0.00567376	0.00896611
70	4	1.08728	0.993656	2.29936	0.948767	0.0431689	0.000948767	0.00711575	0.00889615
80	4	1.12917	0.992838	2.27291	0.95057	0.039924	0.00237643	0.00712928	0.00871689
90	3	1.17323	0.99152	2.37483	0.944733	0.0396788	0.0028342	0.0127539	0.0088788
100	4	1.17567	0.9902	2.46247	0.946522	0.0421202	0.00189304	0.00946522	0.00846327
110	3	1.16589	0.989294	2.34339	0.949217	0.0398671	0.00284765	0.00806834	0.00870022
120	3	1.20444	0.988081	2.4396	0.951475	0.0356803	0.00237869	0.0104662	0.00845316
130	5	1.35075	0.987033	2.5683	0.950119	0.0365796	0.000950119	0.0123515	0.00803737
140	4	1.34844	0.985692	2.54069	0.954654	0.0319809	0.00190931	0.0114558	0.00820031
150	5	1.3469	0.984393	2.53626	0.951022	0.0342368	0.00190204	0.0128388	0.00808548
160	4	1.38933	0.983031	2.59736	0.944733	0.042513	0.000944733	0.0118092	0.00822905
170	4	1.27415	0.981568	2.46051	0.946074	0.0406812	0.00283822	0.0104068	0.00847069
180	3	1.30874	0.979587	2.42434	0.950119	0.0327791	0.00285036	0.0142518	0.00836157
190	2	1.2125	0.977329	2.39111	0.940291	0.0465444	0.00188058	0.0112835	0.00870119
200	2	1.21013	0.976431	2.42545	0.946522	0.0378609	0.00283956	0.012778	0.00856567
